strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
A.C. Diesel,indica,0.200,0.001, Sweet, Skunk, Pungent,, Clear-headed, Calming, Relaxed,, Photoperiod, 8-10 weeks
A.M.S.,indica,0.200,0.001, Sweet, Fruity, Strawberry, Caramel, Relaxed, Cerebral, Couch-lock, Strong, Photoperiod, 7-8 weeks
A1 Haze,indica,0.150,0.001, Earthy, Hashish, Spicy,, Calming, Sedative, Relaxed, Body-buzz, Photoperiod, 7-8 weeks
ACDC,hybrid,0.150,0.001, Berry, Fruity, Grape, Lemon, Motivated, Uplifting, Creative, Sociable, Photoperiod, 8-9 weeks
AK Choco Kush,sativa,0.150,0.001, Flowery, Sweet, Strawberry,, Relaxed, Happy, Uplifting, Energetic, Photoperiod, 9-10 weeks
AK Skunk Autoflowering,sativa,0.150,0.001, Pine, Chemical, Pungent,, Cerebral, Energetic, Happy, Euphoric, Photoperiod, 9-10 weeks
AK Widow 47,hybrid,0.220,0.030, Pine, Citrus, Earthy,, Happy, Uplifting, Euphoric,, Photoperiod, 8-9 weeks
AK-020,hybrid,0.180,0.050, Berry, Sweet, Woody,, Calming, Motivated, Cerebral, Relaxed, Photoperiod, 8-9 weeks
AK-420,indica,0.080,0.001, Spicy, Sweet, Herbal,, Body-buzz, Happy, Relaxed,, Autoflowering, 8 weeks
AK-420 Autoflowering,sativa,0.200,0.001, Sweet, Fruity, Grape,, Happy, Cerebral, Alert, Sociable, Photoperiod, 8-9 weeks
AK-47,indica,0.150,0.001, Hashish, Pepper, Kushy, Cheese, Narcotic, Long-lasting, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
AK-48,indica,0.150,0.110, Skunk, Pungent, Cheese, Calming, Relaxed,,,, Autoflowering, 10 weeks
AK-48 Autoflowering,sativa,0.200,0.050, Citrus, Skunk, Herbal, Sweet, Calming, Relaxed, Balanced, Cerebral, Photoperiod, 8-10 weeks
AK-OG Kush,sativa,0.150,0.110, Tangerine, Earthy, Lavender, Grapefruit, Balanced, Relaxed, Munchies, Calming, Photoperiod, 10 weeks
AMS,hybrid,0.150,0.001, Tropical, Fruity, Fresh,, Motivated, Cerebral, Alert, Uplifting, Photoperiod, 8-10 weeks
ASH,indica,0.150,0.001, Citrus, Sweet,,, Relaxed, Sleepy, Calming,, Autoflowering, 9 weeks
Acapulco Gold,indica,0.190,0.001, Earthy, Kushy, Fruity,, Body-buzz, Happy, Dreamy, Relaxed, Photoperiod, 8-9 weeks
Ace Silver Haze,sativa,0.200,0.001, Spicy, Earthy, Fresh,, Euphoric, Cerebral, Uplifting,, Photoperiod, 8-10 weeks
Acid,indica,0.200,0.001, Earthy, Fresh, Spicy,, Body-buzz, Happy, Long-lasting, Relaxed, Photoperiod, 8-9 weeks
Afghan Hash Plant,hybrid,0.150,0.001, Sour, Fresh, Grape, Fruity, Relaxed, Sedative, Couch-lock, Body-buzz, Photoperiod, 8-9 weeks
Afghan Haze,sativa,0.150,0.001, Earthy, Skunk, Citrus, Pine,, Energetic, Uplifting, Happy, Autoflowering, 10 weeks
Afghan Kush,hybrid,0.150,0.030, Sweet, Earthy, Citrus,, Talkative, Uplifting, Happy, Sociable, Photoperiod, 8-9 weeks
Afghan Kush Ryder,indica,0.150,0.001, Sour, Sweet,,, Happy, Meditative, Relaxed, Body-buzz, Autoflowering, 11-12 weeks
Afghan OG,hybrid,0.150,0.001, Sour, Sweet, Flowery,, Couch-lock, Strong, Narcotic, Trippy, Photoperiod, 9 weeks
Afghan Skunk,indica,0.050,0.050, Pine, Fruity, Woody, Lemon, Body-buzz, Balanced, Relaxed, Smooth, Photoperiod, 8 weeks
Afghani,hybrid,0.200,0.001, Spicy, Sour, Pungent, Sweet, Cerebral, Long-lasting, Relaxed, Body-buzz, Photoperiod, 9-10 weeks
Afghani 1 Autoflowering,indica,0.150,0.001, Skunk, Cheese, Happy, Sleepy, Relaxed, Munchies,,, Photoperiod, 8 weeks
Afghani Gold,indica,0.150,0.001, Musky, Cherry, Lime, Earthy, Creative, Motivated, Focused,, Photoperiod, 8-9 weeks
Afgooey,indica,0.200,0.001, Fresh, Kushy, Fruity,, Strong, Happy, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Afrodite,hybrid,0.120,0.001, Sour, Fruity, Grape,, Sleepy, Calming, Uplifting, Relaxed, Photoperiod, 9 weeks
Agent Orange,sativa,0.180,0.001, Sweet, Candy, Flowery,, Energetic, Happy, Cerebral, Relaxed, Autoflowering, 9-10 weeks
Airborne Genius,hybrid,0.220,0.001, Earthy, Chocolate, Fruity,, Cerebral, Euphoric, Relaxed,, Photoperiod, 8-9 weeks
Akorn,indica,0.160,0.001, Citrus, Skunk, Cheese, Flowery, Relaxed, Body-buzz, Happy,, Photoperiod, 7-9 weeks
Alaskan Ice,indica,0.170,0.002, Spicy, Earthy, Skunk,, Uplifting, Happy, Calming, Relaxed,,
Alchemy,sativa,0.210,0.001, Sweet, Pine, Earthy,, Talkative, Uplifting, Happy, Sociable, Photoperiod, 9 weeks
Alegria,indica,0.120,0.001, Sweet, Fruity, Fresh,, Uplifting, Tingly, Body-buzz, Relaxed, Photoperiod, 8 weeks
Allkush,indica,0.120,0.001, Sweet, Flowery, Berry,, Body-buzz, Happy, Dreamy, Relaxed, Photoperiod, 7-8 weeks
Alphadawg,hybrid,0.220,0.001, Earthy, Citrus, Woody,, Cerebral, Energetic, Euphoric, Long-lasting, Photoperiod, 8 weeks
Alpujarreña,indica,0.120,0.001, Fruity, Sweet, Citrus, Tropical, Relaxed, Calming, Uplifting, Happy, Photoperiod, 9-10 weeks
Amazing Haze,hybrid,0.050,0.100, Citrus, Spicy, Calming,, Balanced, Relaxed, Sociable,, Autoflowering, 9 weeks
Amazonia,hybrid,0.190,0.001, Chemical, Fruity, Fresh,, Cerebral, Happy, Relaxed,, Photoperiod, 8-9 weeks
American Dream,indica,0.120,0.001, Flowery, Spicy, Pepper, Fruity, Relaxed, Strong, Couch-lock, Sleepy, Photoperiod, 8 weeks
American Kush,hybrid,0.100,0.100, Spicy, Lemon, Woody, Fuel, Euphoric, Smooth, Relaxed, Cerebral, Photoperiod, 8-9 weeks
